identifiant fonctionnel;domaine;fonctionnalité;description du comportement réel;fichier source;fonction ou zone source;données entrée;données sortie;dépendances;cas particuliers;risques;nouveau module prévu;test prévu;critère validation;statut;différence volontaire;justification
CRÉ-059;Création;sélection réelle proposition;Comportement existant audité: sélection réelle proposition.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-059;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-060;Création;métiers et publics;Comportement existant audité: métiers et publics.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-060;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-061;Création;chemins Fancytree;Comportement existant audité: chemins Fancytree.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-061;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-062;Création;géographie;Comportement existant audité: géographie.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-062;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-063;Création;académie par défaut;Comportement existant audité: académie par défaut.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-063;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-064;Création;départements;Comportement existant audité: départements.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-064;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-065;Création;CKEditor;Comportement existant audité: CKEditor.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-065;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-066;Création;formatage avancé;Comportement existant audité: formatage avancé.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-066;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-067;Création;mode Source;Comportement existant audité: mode Source.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-067;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-068;Création;injection HTML;Comportement existant audité: injection HTML.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-068;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-069;Création;unités places/heures;Comportement existant audité: unités places/heures.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-069;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-070;Création;section Bas de page;Comportement existant audité: section Bas de page.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-070;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-071;Création;lien Retour à la page Ma formation;Comportement existant audité: lien Retour à la page Ma formation.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-071;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-072;Création;secours CKEditor;Comportement existant audité: secours CKEditor.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-072;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-073;Création;compatibilité Firefox;Comportement existant audité: compatibilité Firefox.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-073;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-074;Création;mode sécurité;Comportement existant audité: mode sécurité.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-074;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-075;Création;surbrillance clics;Comportement existant audité: surbrillance clics.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-075;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-076;Création;pause;Comportement existant audité: pause.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-076;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-077;Création;reprise;Comportement existant audité: reprise.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-077;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-078;Création;reprise après navigation;Comportement existant audité: reprise après navigation.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-078;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-079;Création;récupération Node ID;Comportement existant audité: récupération Node ID.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-079;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-080;Création;récupération URL;Comportement existant audité: récupération URL.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-080;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-081;Création;export bilan création;Comportement existant audité: export bilan création.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-081;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
CRÉ-082;Création;API diagnostic;Comportement existant audité: API diagnostic.;10_07_Tampermonkey Creation parcours intranet.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/legacy-create;test-caracterisation-cré-082;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-083;Mise à jour;import mapping JSON;Comportement existant audité: import mapping JSON.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-083;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-084;Mise à jour;import Excel Sofia-FMO;Comportement existant audité: import Excel Sofia-FMO.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-084;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-085;Mise à jour;import payload intranet;Comportement existant audité: import payload intranet.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-085;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-086;Mise à jour;sélection workflow;Comportement existant audité: sélection workflow.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-086;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-087;Mise à jour;correspondance dispositif;Comportement existant audité: correspondance dispositif.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-087;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-088;Mise à jour;module;Comportement existant audité: module.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-088;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-089;Mise à jour;groupe;Comportement existant audité: groupe.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-089;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-090;Mise à jour;RNE;Comportement existant audité: RNE.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-090;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-091;Mise à jour;territoire;Comportement existant audité: territoire.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-091;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-092;Mise à jour;plusieurs sessions;Comportement existant audité: plusieurs sessions.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-092;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-093;Mise à jour;dates;Comportement existant audité: dates.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-093;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-094;Mise à jour;lieux;Comportement existant audité: lieux.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-094;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-095;Mise à jour;places restantes;Comportement existant audité: places restantes.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-095;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-096;Mise à jour;lien préinscription;Comportement existant audité: lien préinscription.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-096;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-097;Mise à jour;mise en avant;Comportement existant audité: mise en avant.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-097;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-098;Mise à jour;bouton préinscription;Comportement existant audité: bouton préinscription.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-098;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-099;Mise à jour;couleur Bleu cumulus;Comportement existant audité: couleur Bleu cumulus.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-099;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-100;Mise à jour;modification HTML;Comportement existant audité: modification HTML.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-100;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-101;Mise à jour;modification titre;Comportement existant audité: modification titre.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-101;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-102;Mise à jour;objectif;Comportement existant audité: objectif.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-102;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-103;Mise à jour;contenu;Comportement existant audité: contenu.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-103;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-104;Mise à jour;accessibilité;Comportement existant audité: accessibilité.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-104;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-105;Mise à jour;mise en place;Comportement existant audité: mise en place.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-105;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-106;Mise à jour;effectif;Comportement existant audité: effectif.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-106;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-107;Mise à jour;durée totale;Comportement existant audité: durée totale.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-107;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-108;Mise à jour;présentiel;Comportement existant audité: présentiel.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-108;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-109;Mise à jour;distanciel;Comportement existant audité: distanciel.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-109;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-110;Mise à jour;public éditorial;Comportement existant audité: public éditorial.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-110;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-111;Mise à jour;prérequis;Comportement existant audité: prérequis.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-111;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-112;Mise à jour;contact;Comportement existant audité: contact.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-112;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-113;Mise à jour;thématiques;Comportement existant audité: thématiques.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-113;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-114;Mise à jour;publics/métiers Drupal;Comportement existant audité: publics/métiers Drupal.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-114;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
MIS-115;Mise à jour;départements;Comportement existant audité: départements.;MAJ 1.8.08.txt;voir fonctions/zones listées dans audit;fichiers utilisateur / état navigateur;JSON, Excel, HTML Drupal ou rapport;Drupal, navigateur, SheetJS/DOM/localStorage;voir audit;"élevé si identifiant/taxonomie/DOM; moyen sinon";agent-drupal/* + adapters/drupal-job-v2;test-caracterisation-mis-115;Entrées fixture -> sortie/DOM/rapport identique à l'existant;à reprendre;;Non-régression stricte
